date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:15:32	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/My%20Web%20Sites/VoixOff/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://www.voixoff.ma/)
11:15:33	698902/698902	---MCZ	200	added ('OK')	text/javascript	etag:W/%22805a264c1bc1d91:0%22	https://downloads-global.3cx.com/downloads/livechatandtalk/v1/callus.js	C:/My%20Web%20Sites/VoixOff/downloads-global.3cx.com/downloads/livechatandtalk/v1/callus.js	(from https://www.voixoff.ma/)
11:15:33	51210/51210	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:15:33%20GMT	https://www.voixoff.ma/cart	C:/My%20Web%20Sites/VoixOff/www.voixoff.ma/cart.html	(from https://www.voixoff.ma/)
11:15:34	46122/46122	---M--	200	added ('OK')	image/png	etag:%22b42a-65988033-498a2ae6ef19e0a5;;;%22	https://www.voixoff.ma/public/storage/site/logo/C5FC8C873192B914D992.png	C:/My%20Web%20Sites/VoixOff/www.voixoff.ma/public/storage/site/logo/C5FC8C873192B914D992.png	(from https://www.voixoff.ma/)
11:15:34	5704/5704	---M--	200	added ('OK')	image/jpeg	etag:%221648-652e57eb-767fdd6cbd2b3d94;;;%22	https://www.voixoff.ma/public/storage/default/default-placeholder.jpg	C:/My%20Web%20Sites/VoixOff/www.voixoff.ma/public/storage/default/default-placeholder.jpg	(from https://www.voixoff.ma/)
11:15:34	142053/142053	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:15:34%20GMT	https://www.voixoff.ma/start_selling	C:/My%20Web%20Sites/VoixOff/www.voixoff.ma/start_selling.html	(from https://www.voixoff.ma/)
11:15:34	28888/28888	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:15:34%20GMT	https://www.voixoff.ma/auth/login	C:/My%20Web%20Sites/VoixOff/www.voixoff.ma/auth/login.html	(from https://www.voixoff.ma/)
11:15:35	34567/34567	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:15:35%20GMT	https://www.voixoff.ma/auth/register	C:/My%20Web%20Sites/VoixOff/www.voixoff.ma/auth/register.html	(from https://www.voixoff.ma/)
11:15:36	1045347/1045347	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:15:35%20GMT	https://www.voixoff.ma/categories/MoroccanArabic	C:/My%20Web%20Sites/VoixOff/www.voixoff.ma/categories/MoroccanArabic.html	(from https://www.voixoff.ma/)
11:15:38	1044395/1044395	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:15:37%20GMT	https://www.voixoff.ma/categories/french	C:/My%20Web%20Sites/VoixOff/www.voixoff.ma/categories/french.html	(from https://www.voixoff.ma/)
11:15:39	1044276/1044276	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:15:37%20GMT	https://www.voixoff.ma/categories/fusha	C:/My%20Web%20Sites/VoixOff/www.voixoff.ma/categories/fusha.html	(from https://www.voixoff.ma/)
11:15:41	1044921/1044921	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:15:38%20GMT	https://www.voixoff.ma/categories/fusha/male	C:/My%20Web%20Sites/VoixOff/www.voixoff.ma/categories/fusha/male.html	(from https://www.voixoff.ma/)
11:15:42	1045159/1045159	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:15:39%20GMT	https://www.voixoff.ma/categories/fusha/female	C:/My%20Web%20Sites/VoixOff/www.voixoff.ma/categories/fusha/female.html	(from https://www.voixoff.ma/)
11:15:43	1044752/1044752	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:15:41%20GMT	https://www.voixoff.ma/categories/EnglishUS	C:/My%20Web%20Sites/VoixOff/www.voixoff.ma/categories/EnglishUS.html	(from https://www.voixoff.ma/)
11:15:44	1044514/1044514	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:15:42%20GMT	https://www.voixoff.ma/categories/amazigh	C:/My%20Web%20Sites/VoixOff/www.voixoff.ma/categories/amazigh.html	(from https://www.voixoff.ma/)
11:15:46	1044514/1044514	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:15:43%20GMT	https://www.voixoff.ma/categories/Spanish	C:/My%20Web%20Sites/VoixOff/www.voixoff.ma/categories/Spanish.html	(from https://www.voixoff.ma/)
11:15:47	1045228/1045228	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:15:45%20GMT	https://www.voixoff.ma/categories/africanfrench	C:/My%20Web%20Sites/VoixOff/www.voixoff.ma/categories/africanfrench.html	(from https://www.voixoff.ma/)
11:15:48	1045347/1045347	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:15:46%20GMT	https://www.voixoff.ma/categories/arabic-lebanon	C:/My%20Web%20Sites/VoixOff/www.voixoff.ma/categories/arabic-lebanon.html	(from https://www.voixoff.ma/)
11:15:50	1044276/1044276	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:15:47%20GMT	https://www.voixoff.ma/categories/souss	C:/My%20Web%20Sites/VoixOff/www.voixoff.ma/categories/souss.html	(from https://www.voixoff.ma/)
11:15:51	1045347/1045347	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:15:48%20GMT	https://www.voixoff.ma/categories/atlass-amazigh	C:/My%20Web%20Sites/VoixOff/www.voixoff.ma/categories/atlass-amazigh.html	(from https://www.voixoff.ma/)
11:15:52	1044276/1044276	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:15:50%20GMT	https://www.voixoff.ma/categories/fr-mr	C:/My%20Web%20Sites/VoixOff/www.voixoff.ma/categories/fr-mr.html	(from https://www.voixoff.ma/)
11:15:53	1044514/1044514	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2011:15:51%20GMT	https://www.voixoff.ma/categories/italien	C:/My%20Web%20Sites/VoixOff/www.voixoff.ma/categories/italien.html	(from https://www.voixoff.ma/)
